matches,team,year
38,frc839,2015
18,frc665,2005
33,frc1072,2015
9,frc1784,2007
10,frc1277,2007
38,frc1025,2009
24,frc2978,2014
20,frc1735,2007
49,frc2041,2010
56,frc75,2014
8,frc4674,2016
43,frc3970,2016
35,frc5851,2016
45,frc397,2010
48,frc1458,2012
11,frc1644,2012
12,frc1594,2006
26,frc2929,2017
28,frc1452,2010
51,frc987,2012
97,frc303,2017
11,frc2345,2017
27,frc4543,2017
24,frc4854,2013
9,frc6041,2017
26,frc5835,2016
25,frc4946,2015
9,frc1533,2007
12,frc79,2007
8,frc1793,2013
10,frc545,2017
10,frc4098,2017
26,frc6627,2017
29,frc2915,2017
21,frc342,2006
18,frc2257,2007
8,frc1236,2006
12,frc1954,2006
26,frc3536,2012
8,frc3478B,2016
20,frc359,2006
8,frc1274,2007
26,frc1510,2017
10,frc3336,2011
23,frc1029,2005
19,frc421,2006
26,frc2927,2015
21,frc852,2011
37,frc3997,2015
10,frc3163,2010
24,frc449,2008
10,frc2370,2008
24,frc2604,2010
10,frc3083,2014
10,frc2462,2008
34,frc1266,2016
14,frc1977,2010
22,frc2346,2012
11,frc81,2007
25,frc171,2012
22,frc708,2010
8,frc2508,2016
9,frc5906,2017
22,frc167,2015
18,frc204,2006
50,frc2337,2009
10,frc871,2011
16,frc213,2006
12,frc1716,2010
21,frc128,2008
10,frc2895,2017
22,frc484,2010
27,frc3268,2014
22,frc457,2005
27,frc2662,2011
64,frc4405,2017
11,frc3007,2009
27,frc6112,2016
29,frc5641,2017
15,frc2650,2008
16,frc357,2009
11,frc1178,2014
10,frc2644,2009
14,frc3390,2017
24,frc2171,2014
10,frc5329,2015
9,frc988,2009
31,frc1322,2014
104,frc1983,2015
22,frc4462,2013
47,frc4253,2015
11,frc3575,2012
8,frc686,2008
42,frc1228,2013
49,frc67,2006
30,frc4835,2016
11,frc963,2010
10,frc3017,2017
8,frc2188,2008
20,frc4997,2014
8,frc638,2007
11,frc1695,2013
53,frc330,2017
23,frc846,2005
23,frc2854,2010
36,frc1629,2012
11,frc1578,2009
49,frc3234,2012
83,frc1114,2013
10,frc6223,2017
32,frc2393,2016
25,frc4390,2015
11,frc1745,2011
8,frc3454,2013
9,frc2396,2008
11,frc2091,2007
11,frc1276,2007
10,frc1852,2010
19,frc571,2012
40,frc3865,2017
11,frc1653,2007
18,frc371,2009
11,frc2360,2010
12,frc352,2006
12,frc2207,2015
12,frc5943,2016
26,frc1208,2011
35,frc1547,2011
11,frc538,2005
11,frc3037,2013
23,frc4595,2014
10,frc2622,2008
9,frc3072,2014
12,frc4134,2014
39,frc375,2006
19,frc5730,2015
29,frc45,2006
32,frc3255,2014
24,frc3569,2011
38,frc5112,2015
58,frc997,2014
39,frc4270,2017
19,frc2489,2012
12,frc675,2005
11,frc2838,2009
24,frc2245,2012
11,frc568,2014
10,frc6229,2016
29,frc3229,2016
9,frc2069,2009
48,frc2220,2015
40,frc4001,2017
104,frc503,2015
20,frc3381,2014
54,frc6075,2016
45,frc1717,2012
11,frc1436,2010
17,frc1056,2016
48,frc1243,2010
10,frc3786,2011
33,frc1094,2015
72,frc233,2015
28,frc1294,2015
14,frc614,2009
29,frc69,2013
9,frc1495,2009
29,frc386,2013
44,frc8,2014
39,frc2403,2017
26,frc4281,2017
15,frc554,2006
10,frc2509,2014
29,frc6439,2017
10,frc3087,2009
26,frc1213,2005
12,frc3781,2012
30,frc41,2013
58,frc904,2012
51,frc781,2013
9,frc4011,2012
36,frc1985,2016
13,frc2190,2010
11,frc5064,2016
9,frc6000,2017
11,frc4829,2014
8,frc335,2015
11,frc3996,2017
70,frc2537,2016
14,frc581,2005
