District,State Country,Location,Team #,Related team #'s,Most Recent Yr,Rookie Year,Lat/Lon,Accurate Coord,school name,Name,Notes,
MI,MI,"Pontiac, MI ",1,A140,2016,1997,"42.668528,-83.263931",1,"Oakland Technical Center, Northeast Campus",The Chrysler Foundation/BAE Systems/Hirotec & Oakland Schools Technical Campus--Ne ,,
#N/A,TX,"Pasadena, TX ",2,231,1998,1998,"29.710627,-95.211645",1,Pasadena Independent School District,ADA Manufacturing and Engineering / Pasadena Independent School District / University of Houston (University Park) & Clearlake Council of Technical Societies,,
#N/A,WI,"Monroe, WI ",3,A141,1998,1997,"42.586653,-89.639857",1,Broadhead HS & Monroe Senior HS,Advance Transformer Company & Broadhead HS & Monroe Senior HS,,
,CA,"Van Nuys, CA ",4,22,2016,2006,"34.186654,-118.50593",1,HighTech-LA High School,BOEING/Sawing Services/Gibbs CAM/SolidWorks/Boston Scientific/WAAG/Roberts Tool Co./Full Scale Effects & High Tech La ,,
MI,MI,"Allen Park, MI ",5,,2008,1998,"42.278306,-83.18687",1,Melvindale High School ,Ford FIRST Robotics & Melvindale High School,,
#N/A,MN,"Hopkins, MN ",6,"A42,2239,2549",2003,1994,"44.957753,-93.412693",1,Hopkins High School & Washburn High School ,ATK (Alliant Techsystems) & Hopkins High School,,
,MD,"Baltimore, MD ",7,A142,2012,1997,"39.387551,-76.538707",1,Parkville High School ,"Lockheed Martin/Northrop Grumman/Oak Harbor Marina/US Army/jcpenney/US Army Aberdeen Test Center/Moffatt & Nichol/Baltimore Area Alliance/Mr.Brookman & Parkville High School and Center for Mathematics, Science, and Computer Science",,
,CA,"Palo Alto, CA ",8,A125,2016,1996,"37.437384,-122.157712",1,Palo Alto High School ,Google/Lockheed Martin/Bae Systems/Intuitive Surgical /Fenwick & West LLP/Webcor Builders/NVIDIA/Dropbox/Solidworks/Kirk's Steakburgers & Palo Alto High ,,
,IL,"Chicago, IL ",9,,2008,1998,"41.964756,-87.714144",1,Roosevelt High School ,Roosevelt High School,,
#N/A,MN,"St. Louis Park, MN ",10,,2002,1998,"44.959738,-93.370219",1,Benilde -St. Margaret's School,Banner Engineering Corporation & Benilde -St. Margaret's School ,,
MAR,NJ,"Flanders, NJ ",11,A143,2016,1997,"40.858454121085415, -74.7144341468811",1,Mt. Olive High School ,Siemens/John & Margaret Post Foundation/National Defense Education Program/Givaudan/BAE Systems/ASCO/Chameleon Designs/Mt. Olive School District/Prevision Systems & Mt Olive High ,,
#N/A,ME,"Bath, ME ",12,A95,1998,1996,"43.913067,-69.819827",1,Bath Reg. Vocational Center,Bath Iron Works Corporation & Bath Reg. Vocational Center     ,,
#N/A,IL,"Round Lake, IL ",13,A122,1998,1996,"42.404685,-88.234368",1,Johnsburg High School,Baxter Healthcare Corporation / Northwestern University & Johnsburg High School,,
#N/A,FL,"St. Petersburg, FL ",14,"A72, 312",1998,1995,"27.717559,-82.652499",1,Lakewood High School,Baxter Healthcare Corporation & Lakewood High School Center for Advanced Technologies,,
#N/A,PR,"San German, PR ",15,A144,2000,1997,"18.08108,-67.038918",0,Lola Rodriguez De Tio High School & Laura Mercado High School & San German InterAmerican High School ,Baxter Fenwal San German & Lola Rodriguez De Tio High School & Laura Mercado High School & San German InterAmerican High School ,,
,AR,"Mountain Home, AR ",16,A110,2016,1996,"36.330912,-92.394068",1,Mountain Home High School ,"Baxter Healthcare Corporation/The Science and Technology Group/Arkansas FIRST/Novak Technical Services, LLC & Mtn Home High Career Academics & Mountain Home Jr. High School ",,
#N/A,NJ,"East Rutherford, NJ ",17,,1998,1998,"40.832147,-74.093145",1,Beacon Regional HS,Becton Dickinson and Company & Beacon Regional HS,,
#N/A,NH,"Bedford, NH ",18,"A145,305,509",1998,1997,"42.937164,-71.504401",1,McKelvie Middle School ,Bedford Community & McKelvie Middle School   ,,
#N/A,CT,"Greenwich, CT ",19,,2005,1998,"41.03976,-73.613377",1,Eagle Hill-Greenwich High School ,Greenwich High School,,
,NY,"Clifton Park, NY ",20,"A10,250",2016,1992,"42.868675,-73.80852",1,Shenendehowa High School,Global Foundries-Town of Malta Foundation/GE Volunteers and the GE Foundation/BAE SYSTEMS/Advanced Manufacturing Techniques Inc./NYSTAR and the Center for Automation Technologies and Systems at Rensselaer Polytechnic Institute & Shenendehowa High School ,,
,FL,"Kennedy Space Center, FL ",21,,2016,1998,"28.6274,-80.850611",1,Astronaut High School & Titusville High School ,The Boeing Company/SGT/Planet Fitness of Daytona/School Board of Brevard County/East Coast Machine/NASA GSDO/Indian River Tech/Florida Power & Light & Astronaut High School & Titusville High School ,,
#N/A,CA,"Chatsworth, CA ",22,"A146,4",2006,1997,"34.253602,-118.586333",1,Chatsworth High School ,Chatsworth High School,,
NE,MA,"Plymouth, MA ",23,A66,2013,1995,"41.942263,-70.650561",1,Plymouth North High School,Entergy Corporation/Raytheon & Plymouth North High School,,
#N/A,IN,"Ellettsville, IN ",24,A147,1999,1997,"39.23412,-86.638127",1,Edgewood High School     ,Boston Scientific Corporation & Edgewood High School        ,,
MAR,NJ,"North Brunswick, NJ ",25,A148,2016,1997,"40.452785,-74.468406",1,North Brunswick Township High School ,Bristol-Myers Squibb Co./American Alloy Fabricators/Abbe Lumber/Becton Dickinson & North Brunswick Twp High ,,
#N/A,NH,"Derry, NH ",26,"A124,241",1998,1996,"42.89535,-71.316376",1,Pinkerton Academy,"Brooks Family / Poly Vac, Inc. & Pinkerton Academy",,
MI,MI,"Auburn Hills, MI ",27,A149,2016,1997,"42.73512,-83.419294",1,OSMTech Academy ,BorgWarner/Mclaren Health Care/FCA Foundation/State Of Michigan /Smith's Disposal/Genisys Credit Union/Clarkston Dermatology/DENSO/TRW/BAE/Applied Manufacturing Technologies/3-Dimensional Services/ARC Investments/Recticel North America Inc./Clarkston Rotary/Chase Plastics /De-sta-co/DAWNCo/Financial Benifits Group/DMT Homes /Faurecia/Superior Buick GMC & Clarkston High School ,,
,NY,"Sag Harbor, NY ",28,A123,2016,1996,"40.9942770,-72.2885010",1,Pierson High School ,Ancora Yacht Service/Ship Ashore Marina & Pierson Middle/High School ,,
#N/A,TX,"El Paso, TX ",29,1162,2000,1998,"31.896652,-106.58515",1,Canutillo High School ,NASA Johnson Space Center & Canutillo High School ,,
#N/A,NJ,"Lincroft, NJ ",30,,2004,1998,"40.332828,-74.134068",1,High Technology High School ,Bristol-Myers Squibb & High Technology High School,,
,OK,"Jenks, OK ",31,A150,2016,1997,"36.024619,-95.96829",1,Jenks High School ,Williams/OSDE/AEP/Boeing/National Defense Education Program & Jenks Hs ,,
#N/A,OH,"Youngstown, OH ",32,276,2000,1998,"41.092426,-80.694567",1,Chaney High School ,Youngstown City Schools & Chaney High School ,,
MI,MI,"Auburn Hills, MI ",33,A94,2016,1996,"42.673281,-83.258247",1,Avondale High School & Notre Dame Preparatory ,Fiat Chrysler Automotive/The FCA Foundation/Innovation First International/TI Automotive/JDM Consulting/Elite Fence Products/Hubbard Spring/Lochbridge/BAE Systems/Aicas & Notre Dame Preparatory ,,
,AL,"Athens, AL ",34,A151,2016,1997,"34.719837,-86.741691",1,Bob Jones High School ,Limestone County Board of Education/Limestone County Legislative Delegation/Society of Women Engineers & Limestone County Gifted Program & Limestone Co Area Voc Tech ,,
#N/A,MI,"Whitehall, MI ",35,A152,2004,1997,"43.386462,-86.318529",1,Montague High School ,Alcoa - Howmet Castings & Whitehall High School & Montague High School,,
#N/A,NH,"Hollis, NH ",36,A62,1999,1994,"43.034448,-71.459096",1,Derryfield School,"Codem Systems, Inc. & Derryfield School",,
#N/A,FL,"Miami, FL ",37,A76,2001,1995,"25.739015,-80.166327",1,MAST Academy ,Cordis/University of Miami & MAST Academy ,,
#N/A,CT,"Southbury, CT ",38,2836,2006,1998,"41.55833,-73.189765",1,Nonnewaug High School ,Nonnewaug High School,,
,AZ,"Gilbert, AZ ",39,64,2010,2006,"33.364487,-111.6981",1,Highland High School,Boeing/SIMREX Corporation & Highland High School,,
NE,NH,"Manchester, NH ",40,,2011,1998,"42.995765,-71.437976",1,Trinity High School,intelitek & Trinity High School,Left FRC in 2012 to form 10 BEST teams instead,
MAR,NJ,"Warren, NJ ",41,A153,2016,1997,"40.652139,-74.478067",1,Watchung Hills Regional High School ,Watchung Hills Reg H ,,
NE,NH,"Hudson, NH ",42,A68,2008,1995,"42.793747,-71.437751",1,Alvirne High School ,Daniel Webster College/HydroCam Corporation & Alvirne H.S.,,
#N/A,MI,"Mason, MI ",43,A69,1998,1995,"42.570894,-84.435318",1,Mason HS,Dart Container Corporation & Mason HS,,
#N/A,IA,"Ames, IA ",44,"A154, 3928",1999,1997,"42.039807,-93.633034",1,Ames High School,Deere & Company / Iowa State University & Ames High School,,
IN,IN,"Kokomo, IN ",45,A8,2016,1992,"40.469001,-86.14817",1,Kokomo High School ,"Delphi/AndyMark, Inc./Duke Energy/Foresite/Kokomo Education Foundation/Royal United Mortgage/1Up! Software/HMH Contractors, Inc./Howard County EMA/Indiana Wesleyan University/Kati L. Taylor/Kokomo Area Career Center Collision Repair & Construction Class/Kokomo Area Lions Club/Midwestern Engineers, Inc./Northwest Radiology Network/ProPrints & Kokomo High School ",,
#N/A,MI,"Detroit, MI ",46,"2431, 3235",1998,1998,"42.358765,-83.103381",1,Northwestern HS,Delphi Energy & Engine Management Systems & Northwestern HS,,
MI,MI,"Troy, MI ",47,"51, A130",2009,1996,"42.671759,-83.268067",1,Pontiac Central High School ,Delphi Corporation/The Chrysler Foundation & Pontiac Central High School,,
,OH,"Warren, OH ",48,,2016,1998,"41.244115,-80.806403",1,Warren G. Harding High School ,Delphi Corporation/Nordson XALOY & Warren G Harding High School ,,
MI,MI,"Saginaw, MI ",49,,2011,1998,"43.419425,-83.876862",1,Buena Vista High School ,Dow Chemical Company/Nexteer Steering Systems/Sign Depot/ALRO Steel/KMT Robot Solutions & Buena Vista High School,,
#N/A,TX,"Dallas, TX ",50,218,1998,1998,#REF!,1,Highland Park High School,"Double-E, Inc./Automation and Robotics Research Institute, UTA & Highland Park High School",,
MI,MI,"Troy, MI ",51,"47, 65, A130",2016,2010,"42.635005,-83.287425",1,Pontiac Central High School ,GM Powertrain/Delphi/Chrysler Foundation/The Ford Foundation/BAE Systems/Chief Financial Credit Union/Genisys Credit Union/AWG Systems/Methode & Pontiac Schools ,Pontiac Central (47) closed & merged with Pontiac Northern (65) renamed Pontiac HS --2010 season,
#N/A,NY,"Fairport, NY ",52,"A155,277,578",1998,1997,"43.082569,-77.415416",1,,Eastman Kodak Company & Fairport High School,,
,MD,"Greenbelt, MD ",53,,2016,1998,"38.991343,-76.876502",1,,Army Research Laboratory/Maryland Space Business Roundtable & Eleanor Roosevelt High ,,
#N/A,NJ,"Hoboken, NJ ",54,,1999,1998,"40.748116,-74.032495",1,,"Engineered Soulutions, P.C./Lockheed Martin Electronics & Stevens Institute of Technology & Hoboken HS",,
#N/A,TX,"Garland, TX ",55,A85,2000,1995,"32.897399,-96.616178",1,,Environmental Testing Laboratory/Pettinger Foundation & Austin Academy for Excellence ,,
MAR,NJ,"Somerville, NJ ",56,A156,2016,1997,"40.571195,-74.596047",1,,Ethicon & Bound Brook High ,,
,TX,"Houston, TX ",57,,2016,1998,"29.821415,-95.398439",1,,Hydraquip Custom Systems Inc./Andy's Hardware/Arc Specialties/CenterPoint Energy Give/Chevron/Country Pure Foods/Employee Owned Holdings Inc./ExxonMobil/Hydraquip Distribution Inc./GE Sensing/Walter P. Moore & Washington B T H S ,,
NE,ME,"South Portland, ME ",58,A127,2016,1996,"43.622344,-70.270248",1,,Fairchild Semiconductor/Robotics Institute of Maine & South Portland High School ,,
,FL,"Miami, FL ",59,"A199, 1077",2016,1997,"25.754788,-80.340315",1,,Sal Aerospace Engineering (SAE) / Miami Coral Park Sr. / Beckman Coultour / Florida Power & Light / eMerge of Americas & Miami Coral Park Senior High ,,
