"key","name","event_code","event_type","city","state_prov","country","start_date","end_date","year","district.display_name","district.key","district.year","district.abbreviation","lat","long"
"2016abca","Western Canada Regional","abca",0,"Salt Lake City","UT","USA","2016-04-03","2016-04-06",2016,,,,,40.7607793,-111.8910474
"2016alhu","Rocket City Regional","alhu",0,"Huntsville","AL","USA","2016-03-23","2016-03-26",2016,,,,,34.7303688,-86.5861037
"2016arc","Archimedes Division","arc",3,"St. Louis","MO","USA","2016-04-27","2016-04-30",2016,,,,,38.6270025,-90.19940419999999
"2016arlr","Arkansas Rock City Regional","arlr",0,"Little Rock","AR","USA","2016-03-09","2016-03-12",2016,,,,,34.7464809,-92.28959479999999
"2016aroz","Ozark Mountain Brawl","aroz",99,"Arkansas","AR","USA","2016-10-07","2016-10-08",2016,,,,,34.2354138,-91.28910359999999
"2016ausy","Australia Regional","ausy",0,"Sydney Olympic Park","NSW","Australia","2016-03-16","2016-03-19",2016,,,,,-33.84801,151.06488
"2016azcmp","Sanghi Foundation Arizona FIRST Robotics State Championship","azcmp",99,"Phoenix","AZ","USA","2016-10-15","2016-10-15",2016,,,,,33.4483771,-112.0740373
"2016azfl","Arizona North Regional","azfl",0,"Flagstaff","AZ","USA","2016-03-09","2016-03-12",2016,,,,,35.1982836,-111.651302
"2016azpx","Arizona West Regional","azpx",0,"Phoenix","AZ","USA","2016-04-06","2016-04-09",2016,,,,,33.4483771,-112.0740373
"2016bc","BattleCry 17","bc",99,"Worcester","MA","USA","2016-05-21","2016-05-22",2016,,,,,42.2625932,-71.8022934
"2016bt","Beantown Blitz","bt",99,"Revere","MA","USA","2016-06-18","2016-06-18",2016,,,,,42.4084302,-71.0119948
"2016cabb","Battle at the Border","cabb",99,"San Diego","CA","USA","2016-10-15","2016-10-15",2016,,,,,32.715738,-117.1610838
"2016cabl","Beach Blitz","cabl",99,"Huntington Beach","CA","USA","2016-10-08","2016-10-09",2016,,,,,33.6594835,-117.9988026
"2016cacc","Capital City Classic","cacc",99,"California","CA","USA","2016-10-21","2016-10-23",2016,,,,,36.778261,-119.4179324
"2016cacg","CalGames","cacg",99,"California","CA","USA","2016-10-07","2016-10-08",2016,,,,,36.778261,-119.4179324
"2016cada","Sacramento Regional","cada",0,"Davis","CA","USA","2016-03-23","2016-03-26",2016,,,,,38.5449065,-121.7405167
"2016cafc","Fall Classic (Day 1)","cafc",99,"Placentia","CA","USA","2016-09-24","2016-09-24",2016,,,,,33.8710729,-117.8627548
"2016cafc2","Fall Classic (Day 2)","cafc2",99,"Placentia","CA","USA","2016-09-25","2016-09-25",2016,,,,,33.8710729,-117.8627548
"2016calb","Los Angeles Regional","calb",0,"Long Beach","CA","USA","2016-03-09","2016-03-12",2016,,,,,33.7700504,-118.1937395
"2016cama","Central Valley Regional","cama",0,"Madera","CA","USA","2016-03-10","2016-03-13",2016,,,,,36.9613356,-120.0607176
"2016capl","Orange County Regional","capl",0,"Placentia","CA","USA","2016-03-30","2016-04-02",2016,,,,,33.8710729,-117.8627548
"2016cars","Carson Division","cars",3,"St. Louis","MO","USA","2016-04-27","2016-04-30",2016,,,,,38.6270025,-90.19940419999999
"2016carv","Carver Division","carv",3,"St. Louis","MO","USA","2016-04-27","2016-04-30",2016,,,,,38.6270025,-90.19940419999999
"2016casd","San Diego Regional","casd",0,"Del Mar","CA","USA","2016-03-02","2016-03-05",2016,,,,,32.9594891,-117.2653146
"2016casj","Silicon Valley Regional presented by Google.org","casj",0,"San Jose","CA","USA","2016-04-06","2016-04-09",2016,,,,,37.3382082,-121.8863286
"2016cass","SCRRF Spring Scrimmage","cass",100,"Placentia","CA","USA","2016-02-20","2016-02-21",2016,,,,,33.8710729,-117.8627548
"2016cave","Ventura Regional","cave",0,"Ventura","CA","USA","2016-03-23","2016-03-26",2016,,,,,34.274646,-119.2290316
"2016cc","Chezy Champs","cc",99,"San Jose","CA","USA","2016-09-24","2016-09-25",2016,,,,,37.3382082,-121.8863286
"2016chcmp","FIRST Chesapeake District Championship sponsored by Booz Allen Hamilton","chcmp",2,"College Park","MD","USA","2016-04-06","2016-04-09",2016,"Chesapeake","2016chs",2016,"chs",38.9896967,-76.93776
"2016cmp","Einstein Field","cmp",4,"St. Louis","MO","USA","2016-04-30","2016-04-30",2016,,,,,,
"2016code","Colorado Regional","code",0,"Denver","CO","USA","2016-03-23","2016-03-26",2016,,,,,39.7392358,-104.990251
"2016cthar","NE District - Hartford Event","cthar",1,"Hartford","CT","USA","2016-04-01","2016-04-03",2016,"New England","2016ne",2016,"ne",41.76371109999999,-72.6850932
"2016ctsc","Connecticut State Championship","ctsc",99,"Southbury","CT","USA","2016-05-14","2016-05-14",2016,,,,,41.4793072,-73.2133715
