"event_name","event_name_analyzed","event_code","fk_program_seasons","event_subtype","event_subtype_moniker","event_type","event_venue","event_venue_sort","event_venue_analyzed","event_stateprov","event_country","event_city","event_address1","event_address2","date_end","date_start","event_postalcode","event_season","capacity_total","event_web_url","flag_bag_and_tag_event","program_code_display","program_name","flag_display_in_vims","ff_event_type_sort_order","countryCode","open_capacity","event_fee_currency","hotel_document","id","lat","lon","event_venue_room","event_fee_base","community_event_contact_name_first","community_event_contact_name_last","community_event_contact_email"
"Alamo Regional","Alamo Regional","TXSA",235,"Regional","Regional","FRC","Henry B. Gonzalez Convention Center","Henry B. Gonzalez Convention Center","Henry B. Gonzalez Convention Center","TX","USA","San Antonio","200 East Market Street",,"2017-04-08T00:00:00","2017-04-05T00:00:00","78205",2017,50,"http://www.alamo-first.org",true,"FRC","FIRST Robotics Competition",true,3,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22567,29.423472,-98.487398,"",0,"","",""
"Arizona North Regional","Arizona North Regional","AZFL",235,"Regional","Regional","FRC","J. Lawrence Walkup Skydome - Northern Arizona University","J. Lawrence Walkup Skydome - Northern Arizona University","J. Lawrence Walkup Skydome - Northern Arizona University","AZ","USA","Flagstaff","1701 S. San Francisco Street",,"2017-03-11T00:00:00","2017-03-08T00:00:00","86011",2017,60,"http://www.azfirst.org/",true,"FRC","FIRST Robotics Competition",true,3,"US",11,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22477,35.188945,-111.620766,"",0,"","",""
"Arizona West Regional","Arizona West Regional","AZPX",235,"Regional","Regional","FRC","Grand Canyon University Arena","Grand Canyon University Arena","Grand Canyon University Arena","AZ","USA","Phoenix","3300 W. Camelback Road",,"2017-04-08T00:00:00","2017-04-05T00:00:00","85017",2017,42,"http://www.azfirst.org/",true,"FRC","FIRST Robotics Competition",true,3,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22671,33.510589,-112.122065,,0,"","",
"Arkansas Rock City Regional","Arkansas Rock City Regional","ARLI",235,"Regional","Regional","FRC","Arkansas State Fairgrounds - Barton Coliseum","Arkansas State Fairgrounds - Barton Coliseum","Arkansas State Fairgrounds - Barton Coliseum","AR","USA","Little Rock","Barton Coliseum","2600 Howard Street","2017-03-11T00:00:00","2017-03-08T00:00:00","72206",2017,60,"http://arfirst.org",true,"FRC","FIRST Robotics Competition",true,3,"US",9,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",25061,34.681307,-92.27776,,,,,
"Bayou Regional","Bayou Regional","LAKE",235,"Regional","Regional","FRC","Pontchartrain Center","Pontchartrain Center","Pontchartrain Center","LA","USA","Kenner","Pontchartrain Center ","4545 Williams Blvd","2017-03-25T00:00:00","2017-03-22T00:00:00","70065",2017,60,"http://www.frcbayouregional.org",true,"FRC","FIRST Robotics Competition",true,3,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22479,30.024262,-90.249125,"",0,"","",""
"Brazos Valley Regional","Brazos Valley Regional","TXWA",235,"Regional","Regional","FRC","University High School","University High School","University High School","TX","USA","Waco","3201 S. New Road",,"2017-04-02T00:00:00","2017-03-30T00:00:00","76706",2017,42,"http://firstintexas.org/regions/alamo-region/brazos-valley-frc-regional/",true,"FRC","FIRST Robotics Competition",true,3,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",25533,31.48032,-97.11588,,,,,
"Buckeye Regional","Buckeye Regional","OHCL",235,"Regional","Regional","FRC","Cleveland State University - Wolstein Center","Cleveland State University - Wolstein Center","Cleveland State University - Wolstein Center","OH","USA","Cleveland","2000 Prospect Street",,"2017-04-01T00:00:00","2017-03-29T00:00:00","44115",2017,60,"http://www.firstbuckeye.org/",true,"FRC","FIRST Robotics Competition",true,3,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22513,41.496936,-81.6742,"",0,"","",
"CHS District - Central Maryland Event sponsored by Leidos","CHS District - Central Maryland Event sponsored by Leidos","MDEDG",235,"Qualifying Event","District Event","FRC","South River High School","South River High School","South River High School","MD","USA","Edgewater","201 Central Avenue East",,"2017-03-26T00:00:00","2017-03-24T00:00:00","21037",2017,40,"http://www.firstchesapeake.org",true,"FRC","FIRST Robotics Competition",true,200,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22687,38.921302,-76.542804,,,,,
"CHS District - Central Virginia Event","CHS District - Central Virginia Event","VAGLE",235,"Qualifying Event","District Event","FRC","Deep Run High School","Deep Run High School","Deep Run High School","VA","USA","Glen Allen","4801 Twin Hickory Road",,"2017-03-26T00:00:00","2017-03-24T00:00:00","23059",2017,40,"http://www.firstchesapeake.org",true,"FRC","FIRST Robotics Competition",true,200,"US",3,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22689,37.716392,-77.578346,,,,,
"CHS District - Greater DC Event sponsored by Accenture","CHS District - Greater DC Event sponsored by Accenture","MDBET",235,"Qualifying Event","District Event","FRC","Walt Whitman High School","Walt Whitman High School","Walt Whitman High School","MD","USA","Bethesda","7100 Whittier Blvd",,"2017-03-12T00:00:00","2017-03-10T00:00:00","20817",2017,40,"http://www.firstchesapeake.org",true,"FRC","FIRST Robotics Competition",true,200,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22547,38.997996,-77.146318,"",0,"","",""
