"event_name","event_name_analyzed","event_code","fk_program_seasons","event_subtype","event_subtype_moniker","event_type","event_venue","event_venue_sort","event_venue_analyzed","event_stateprov","event_country","event_city","event_address1","event_address2","date_end","date_start","event_postalcode","event_season","capacity_total","event_web_url","flag_bag_and_tag_event","program_code_display","program_name","flag_display_in_vims","ff_event_type_sort_order","countryCode","open_capacity","event_fee_currency","hotel_document","id","lat","lon","event_venue_room","event_fee_base","community_event_contact_name_first","community_event_contact_name_last","community_event_contact_email"
"Aerospace Valley Regional","Aerospace Valley Regional","CAAV",247,"Regional","Regional","FRC","Eastside High School","Eastside High School","Eastside High School","CA","USA","Lancaster","3200 E Ave J 8",,"2018-04-07T00:00:00","2018-04-04T00:00:00","93535",2018,36,,true,"FRC","FIRST Robotics Competition",true,3,"US",22,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",33133,34.715491,-117.902577,,,,,
"Alamo Regional","Alamo Regional","TXSA",247,"Regional","Regional","FRC","St. Mary's University","St. Mary's University","St. Mary's University","TX","USA","San Antonio","Greehey Arena","1 Camino Santa Maria","2018-04-07T00:00:00","2018-04-04T00:00:00","78228",2018,48,"http://www.alamo-first.org",true,"FRC","FIRST Robotics Competition",true,3,"US",11,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27951,29.459623,-98.574755,"",,"","",""
"Arizona North Regional","Arizona North Regional","AZFL",247,"Regional","Regional","FRC","J. Lawrence Walkup Skydome - Northern Arizona University","J. Lawrence Walkup Skydome - Northern Arizona University","J. Lawrence Walkup Skydome - Northern Arizona University","AZ","USA","Flagstaff","1701 S. San Francisco Street",,"2018-03-10T00:00:00","2018-03-07T00:00:00","86011",2018,60,"http://www.azfirst.org/",true,"FRC","FIRST Robotics Competition",true,3,"US",30,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27861,35.188945,-111.620766,"",,"","",""
"Arizona West Regional","Arizona West Regional","AZPX",247,"Regional","Regional","FRC","Grand Canyon University Arena","Grand Canyon University Arena","Grand Canyon University Arena","AZ","USA","Phoenix","3300 W. Camelback Road",,"2018-04-07T00:00:00","2018-04-04T00:00:00","85017",2018,42,"http://www.azfirst.org/",true,"FRC","FIRST Robotics Competition",true,3,"US",10,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28047,33.510589,-112.122065,,,"","",
"Arkansas Rock City Regional","Arkansas Rock City Regional","ARLI",247,"Regional","Regional","FRC","Arkansas State Fairgrounds - Barton Coliseum","Arkansas State Fairgrounds - Barton Coliseum","Arkansas State Fairgrounds - Barton Coliseum","AR","USA","Little Rock","Barton Coliseum","2600 Howard Street","2018-03-10T00:00:00","2018-03-07T00:00:00","72206",2018,60,"http://arfirst.org",true,"FRC","FIRST Robotics Competition",true,3,"US",41,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28101,34.681307,-92.27776,,,,,
"Bayou Regional","Bayou Regional","LAKE",247,"Regional","Regional","FRC","Pontchartrain Center","Pontchartrain Center","Pontchartrain Center","LA","USA","Kenner","Pontchartrain Center ","4545 Williams Blvd","2018-03-24T00:00:00","2018-03-21T00:00:00","70065",2018,60,"http://www.frcbayouregional.org",true,"FRC","FIRST Robotics Competition",true,3,"US",19,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27863,30.024262,-90.249125,"",,"","",""
"Buckeye Regional","Buckeye Regional","OHCL",247,"Regional","Regional","FRC","Cleveland State University - Wolstein Center","Cleveland State University - Wolstein Center","Cleveland State University - Wolstein Center","OH","USA","Cleveland","2000 Prospect Street",,"2018-03-31T00:00:00","2018-03-28T00:00:00","44115",2018,60,"http://www.firstbuckeye.org/",true,"FRC","FIRST Robotics Competition",true,3,"US",33,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27897,41.496936,-81.6742,"",,"","",
"CHS District Central Maryland Event","CHS District Central Maryland Event","MDEDG",247,"Qualifying Event","District Event","FRC","South River High School","South River High School","South River High School","MD","USA","Edgewater","201 Central Avenue East",,"2018-03-25T00:00:00","2018-03-23T00:00:00","21037",2018,36,"http://www.firstchesapeake.org",true,"FRC","FIRST Robotics Competition",true,200,"US",14,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28059,38.921302,-76.542804,,,,,
"CHS District Central Virginia Event","CHS District Central Virginia Event","VAGLE",247,"Qualifying Event","District Event","FRC","Deep Run High School","Deep Run High School","Deep Run High School","VA","USA","Glen Allen","4801 Twin Hickory Road",,"2018-03-11T00:00:00","2018-03-09T00:00:00","23059",2018,36,"http://www.firstchesapeake.org",true,"FRC","FIRST Robotics Competition",true,200,"US",15,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",28061,37.716392,-77.578346,,,,,
"CHS District Greater DC Event","CHS District Greater DC Event","VAGDC",247,"Qualifying Event","District Event","FRC","Hayfield Secondary School","Hayfield Secondary School","Hayfield Secondary School","VA","USA","Alexandria","7630 Telegraph Road",,"2018-03-11T00:00:00","2018-03-09T00:00:00","22315",2018,36,"http://www.firstchesapeake.org",true,"FRC","FIRST Robotics Competition",true,200,"US",11,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",27931,38.78448,-77.1252,"",,"","",""
