tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table 6,2016,1,30135,30194,"Allentown/Bethlehem/Easton, PA","Dallas/Fort Worth, TX",1307,34.0659340659341,240.858064516129,AA,0.529032258064516,259.507317073171,UA,0.141935483870968,165.497727272727
Table 6,2016,1,30135,30325,"Allentown/Bethlehem/Easton, PA","Denver, CO",1539,22.6373626373626,233.274757281553,UA,0.480582524271845,214.133333333333,UA,0.480582524271845,214.133333333333
Table 6,2016,1,30135,30397,"Allentown/Bethlehem/Easton, PA","Atlanta, GA (Metropolitan Area)",692,71.4285714285714,235.086923076923,DL,0.895384615384615,238.536254295533,UA,0.0123076923076923,98.875
Table 6,2016,1,30135,30466,"Allentown/Bethlehem/Easton, PA","Phoenix, AZ",2066,28.2417582417582,258.488326848249,AA,0.583657587548638,249.066666666667,UA,0.182879377431907,232.470212765957
Table 6,2016,1,30135,30559,"Allentown/Bethlehem/Easton, PA","Seattle, WA",2344,12.1978021978022,276.106306306306,DL,0.405405405405405,276.802222222222,UA,0.387387387387387,255.753488372093
Table 6,2016,1,30135,30693,"Allentown/Bethlehem/Easton, PA","Nashville, TN",685,20.6593406593407,223.125,AA,0.478723404255319,233.633333333333,DL,0.425531914893617,216.9225
Table 6,2016,1,30135,30977,"Allentown/Bethlehem/Easton, PA","Chicago, IL",655,42.8571428571429,313.938205128205,UA,0.735897435897436,334.823693379791,DL,0.105128205128205,219.185365853659
Table 6,2016,1,30135,31057,"Allentown/Bethlehem/Easton, PA","Charlotte, NC",481,45.0549450549451,274.873658536585,AA,0.858536585365854,284.017329545455,DL,0.121951219512195,216.168
Table 6,2016,1,30135,31123,"Allentown/Bethlehem/Easton, PA","St. Louis, MO",805,17.6923076923077,206.672670807453,DL,0.484472049689441,213.251282051282,UA,0.22360248447205,162.727777777778
Table 6,2016,1,30135,31136,"Allentown/Bethlehem/Easton, PA","Jacksonville, FL",783,21.0989010989011,195.733854166667,DL,0.515625,191.469696969697,DL,0.515625,191.469696969697
Table 6,2016,1,30135,31295,"Allentown/Bethlehem/Easton, PA","Detroit, MI",425,18.6813186813187,369.457058823529,DL,0.758823529411765,432.275968992248,AA,0.176470588235294,189.35
Table 6,2016,1,30135,31453,"Allentown/Bethlehem/Easton, PA","Houston, TX",1350,33.4065934065934,249.473026315789,DL,0.368421052631579,242.125892857143,AA,0.302631578947368,242.096739130435
Table 6,2016,1,30135,31454,"Allentown/Bethlehem/Easton, PA","Orlando, FL",906,43.0769230769231,185.459693877551,AA,0.456632653061224,198.260893854749,UA,0.165816326530612,135.115384615385
Table 6,2016,1,30135,31650,"Allentown/Bethlehem/Easton, PA","Minneapolis/St. Paul, MN",948,14.3956043956044,391.541984732824,DL,0.679389312977099,395.612359550562,UA,0.137404580152672,326.005555555556
Table 6,2016,1,30135,31714,"Allentown/Bethlehem/Easton, PA","Fort Myers, FL",1038,22.5274725274725,195.462926829268,DL,0.570731707317073,193.912820512821,DL,0.570731707317073,193.912820512821
Table 6,2016,1,30135,32211,"Allentown/Bethlehem/Easton, PA","Las Vegas, NV",2161,18.5714285714286,250.620118343195,AA,0.449704142011834,245.089473684211,AA,0.449704142011834,245.089473684211
Table 6,2016,1,30135,32337,"Allentown/Bethlehem/Easton, PA","Indianapolis, IN",578,17.6923076923077,204.210559006211,DL,0.509316770186335,192.140243902439,UA,0.124223602484472,182.105
Table 6,2016,1,30135,32457,"Allentown/Bethlehem/Easton, PA","San Francisco, CA (Metropolitan Area)",2500,23.4065934065934,295.652582159624,UA,0.483568075117371,293.72427184466,UA,0.483568075117371,293.72427184466
Table 6,2016,1,30135,32467,"Allentown/Bethlehem/Easton, PA","Miami, FL (Metropolitan Area)",1061,36.3736263736264,206.656193353474,AA,0.465256797583082,217.425974025974,UA,0.129909365558912,133.772093023256
Table 6,2016,1,30135,32575,"Allentown/Bethlehem/Easton, PA","Los Angeles, CA (Metropolitan Area)",2388,43.6263736263736,281.981108312343,AA,0.365239294710327,281.614482758621,UA,0.302267002518892,266.009166666667
Table 6,2016,1,30135,33044,"Allentown/Bethlehem/Easton, PA","Louisville, KY",576,11.6483516483516,215.419811320755,DL,0.462264150943396,216.495918367347,UA,0.179245283018868,162.126315789474
Table 6,2016,1,30135,33195,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",970,143.516483516484,121.883843797856,G4,0.780245022970903,105.813542688911,G4,0.780245022970903,105.813542688911
Table 6,2016,1,30135,33198,"Allentown/Bethlehem/Easton, PA","Kansas City, MO",1025,19.8901098901099,236.481215469613,DL,0.668508287292818,241.497520661157,AA,0.232044198895028,230.947619047619
Table 6,2016,1,30135,33244,"Allentown/Bethlehem/Easton, PA","Memphis, TN",883,13.0769230769231,229.646218487395,DL,0.487394957983193,208.758620689655,DL,0.487394957983193,208.758620689655
Table 6,2016,1,30135,33342,"Allentown/Bethlehem/Easton, PA","Milwaukee, WI",662,12.5274725274725,202.391228070175,DL,0.43859649122807,216.96,UA,0.228070175438596,184.523076923077
Table 6,2016,1,30135,33485,"Allentown/Bethlehem/Easton, PA","Madison, WI",736,18.3516483516484,252.487425149701,DL,0.760479041916168,258.886614173228,UA,0.215568862275449,231.361111111111
Table 6,2016,1,30135,33495,"Allentown/Bethlehem/Easton, PA","New Orleans, LA",1111,19.2307692307692,221.462285714286,DL,0.668571428571429,216.990598290598,UA,0.148571428571429,195.630769230769
Table 6,2016,1,30135,33570,"Allentown/Bethlehem/Easton, PA","San Diego, CA",2359,15.2747252747253,288.83381294964,UA,0.381294964028777,274.803773584906,UA,0.381294964028777,274.803773584906
Table 6,2016,1,30135,34027,"Allentown/Bethlehem/Easton, PA","West Palm Beach/Palm Beach, FL",999,20.7692307692308,187.730158730159,DL,0.407407407407407,198.918181818182,UA,0.253968253968254,129.666666666667
Table 6,2016,1,30135,34082,"Allentown/Bethlehem/Easton, PA","Punta Gorda, FL",1018,84.7252747252747,115.290531776913,G4,1,115.290531776913,G4,1,115.290531776913
Table 6,2016,1,30135,34685,"Allentown/Bethlehem/Easton, PA","Savannah, GA",669,11.8681318681319,213.467592592593,AA,0.564814814814815,225.414754098361,DL,0.435185185185185,197.96170212766
Table 6,2016,1,30135,34761,"Allentown/Bethlehem/Easton, PA","Sanford, FL",882,229.120879120879,99.3002398081535,G4,1,99.3002398081535,G4,1,99.3002398081535
Table 6,2016,1,30136,30194,"Abilene, TX","Dallas/Fort Worth, TX",158,17.9120879120879,188.318404907975,AA,1,188.318404907975,AA,1,188.318404907975
Table 6,2016,1,30136,30852,"Abilene, TX","Washington, DC (Metropolitan Area)",1370,10.6593406593407,281.874226804124,AA,0.969072164948454,284.407446808511,AA,0.969072164948454,284.407446808511
Table 6,2016,1,30136,31453,"Abilene, TX","Houston, TX",323,12.967032967033,226.874576271186,AA,0.966101694915254,228.508771929825,AA,0.966101694915254,228.508771929825
Table 6,2016,1,30136,31454,"Abilene, TX","Orlando, FL",1129,13.6263736263736,265.723387096774,AA,1,265.723387096774,AA,1,265.723387096774
Table 6,2016,1,30136,32211,"Abilene, TX","Las Vegas, NV",920,15.4945054945055,258.292907801418,AA,1,258.292907801418,AA,1,258.292907801418
Table 6,2016,1,30136,32575,"Abilene, TX","Los Angeles, CA (Metropolitan Area)",1089,11.5384615384615,278.448571428571,AA,0.990476190476191,276.091346153846,AA,0.990476190476191,276.091346153846
Table 6,2016,1,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",580,525.384615384615,198.177034093286,WN,0.595482116711985,198.497084650509,AA,0.392177368751307,197.362026666667
Table 6,2016,1,30140,30198,"Albuquerque, NM","Pittsburgh, PA",1486,34.1758241758242,306.867524115756,WN,0.414790996784566,299.419379844961,UA,0.247588424437299,277.346753246753
Table 6,2016,1,30140,30255,"Albuquerque, NM","Huntsville, AL",1126,17.3626373626374,328.324050632911,AA,0.481012658227848,321.919736842105,AA,0.481012658227848,321.919736842105
Table 6,2016,1,30140,30325,"Albuquerque, NM","Denver, CO",349,403.736263736264,177.421284703321,WN,0.648067501360915,166.859974800504,WN,0.648067501360915,166.859974800504
Table 6,2016,1,30140,30397,"Albuquerque, NM","Atlanta, GA (Metropolitan Area)",1269,131.208791208791,283.575711892797,DL,0.468174204355109,337.416457960644,WN,0.312395309882747,222.1581769437
Table 6,2016,1,30140,30423,"Albuquerque, NM","Austin, TX",619,112.417582417582,267.755522971652,WN,0.652003910068426,268.380509745127,AA,0.27761485826002,265.654929577465
Table 6,2016,1,30140,30436,"Albuquerque, NM","Tucson, AZ",321,24.6153846153846,221.314732142857,AA,0.933035714285714,223.458373205742,WN,0.0580357142857143,206.846153846154
Table 6,2016,1,30140,30466,"Albuquerque, NM","Phoenix, AZ",328,690,173.564612199395,WN,0.821946169772257,173.652296066654,AA,0.177894569198917,173.167233661594
Table 6,2016,1,30140,30476,"Albuquerque, NM","Shreveport, LA",757,10.3296703296703,238.312765957447,AA,0.946808510638298,230.892134831461,AA,0.946808510638298,230.892134831461
Table 6,2016,1,30140,30529,"Albuquerque, NM","Hartford, CT",1886,28.3516483516484,297.160852713178,WN,0.542635658914729,278.816428571429,WN,0.542635658914729,278.816428571429
Table 6,2016,1,30140,30559,"Albuquerque, NM","Seattle, WA",1180,244.725274725275,174.270498428379,AS,0.52312528064661,165.841201716738,AS,0.52312528064661,165.841201716738
Table 6,2016,1,30140,30599,"Albuquerque, NM","Birmingham, AL",1138,19.6703296703297,281.11843575419,WN,0.625698324022346,268.107142857143,WN,0.625698324022346,268.107142857143
Table 6,2016,1,30140,30647,"Albuquerque, NM","Cleveland, OH (Metropolitan Area)",1427,31.0989010989011,295.67667844523,WN,0.303886925795053,287.812790697674,AA,0.250883392226148,283.291549295775
Table 6,2016,1,30140,30693,"Albuquerque, NM","Nashville, TN",1123,62.5274725274725,263.945869947276,WN,0.604569420035149,260.516569767442,WN,0.604569420035149,260.516569767442
Table 6,2016,1,30140,30713,"Albuquerque, NM","Boise, ID",781,26.8131868131868,259.12868852459,WN,0.516393442622951,228.106349206349,WN,0.516393442622951,228.106349206349
Table 6,2016,1,30140,30721,"Albuquerque, NM","Boston, MA (Metropolitan Area)",1974,138.131868131868,267.667303102625,WN,0.501988862370724,241.385261489699,WN,0.501988862370724,241.385261489699
Table 6,2016,1,30140,30792,"Albuquerque, NM","Buffalo, NY",1588,17.032967032967,293.434838709677,WN,0.606451612903226,255.436170212766,WN,0.606451612903226,255.436170212766
